name,adm1__id
"Buenos Aires","1"
"Catamarca","2"
"Chaco","3"
"Chubut","4"
"Ciudad de Buenos Aires","5"
"Córdoba","6"
"Corrientes","7"
"Entre Ríos","8"
"Formosa","9"
"Jujuy","10"
"La Pampa","11"
"La Rioja","12"
"Mendoza","13"
"Misiones","14"
"Neuquén","15"
"Río Negro","16"
"Salta","17"
"San Juan","18"
"San Luis","19"
"Santa Cruz","20"
"Santa Fe","21"
"Santiago del Estero","22"
"Tierra del Fuego","23"
"Tucumán","24"
